date,Product_Name,sales
17/02/2022,"Cheese - Brie,danish",53
25/11/2021,Broom - Push,17
07/02/2022,Gelatine Leaves - Bulk,4
22/12/2021,Wine - Casillero Deldiablo,71
31/12/2021,Lobak,26
10/12/2021,Phyllo Dough,93
18/01/2022,Rice - Long Grain,3
27/12/2021,Iced Tea Concentrate,67
17/12/2021,Milk - 2%,64
13/01/2022,Cheese - Brick With Pepper,45
08/02/2022,Chinese Foods - Pepper Beef,90
20/01/2022,Pear - Packum,36
23/01/2022,"Potatoes - Purple, Organic",87
17/12/2021,Nestea - Iced Tea,14
13/01/2022,Bread - Corn Muffaleta Onion,91
27/01/2022,Napkin White,47
07/02/2022,Sole - Fillet,75
23/12/2021,Red Cod Fillets - 225g,40
10/01/2022,Flour Dark Rye,100
30/12/2021,Foam Espresso Cup Plain White,48
06/12/2021,Chocolate - Milk,68
27/12/2021,Pate Pans Yellow,21
22/12/2021,Beef - Top Sirloin - Aaa,72
27/12/2021,"Tortillas - Flour, 12",27
29/11/2021,Wine - Peller Estates Late,3
07/02/2022,Wine - Trimbach Pinot Blanc,88
14/01/2022,"Pepper - Red, Finger Hot",27
20/12/2021,Pepsi - 600ml,30
23/01/2022,Stock - Fish,29
14/01/2022,"Wine - Sherry Dry Sack, William",29
22/12/2021,Kahlua,37
25/12/2021,Wine - Port Late Bottled Vintage,49
03/01/2022,Barramundi,83
06/01/2022,Island Oasis - Lemonade,61
06/01/2022,Chambord Royal,71
28/11/2021,Alize Red Passion,60
18/12/2021,Cheese - Shred Cheddar / Mozza,52
22/02/2022,Cheese - Ermite Bleu,23
26/12/2021,Beef - Top Sirloin - Aaa,90
31/01/2022,Apricots - Dried,91
12/01/2022,Bread Foccacia Whole,68
09/12/2021,"Beans - Kidney, Canned",8
10/12/2021,Potato - Sweet,56
04/01/2022,Canada Dry,22
03/02/2022,Passion Fruit,24
15/12/2021,"Doilies - 7, Paper",37
12/02/2022,Nantucket - Orange Mango Cktl,22
13/01/2022,Yogurt - French Vanilla,25
25/11/2021,"Wine - Red, Lurton Merlot De",49
12/12/2021,Cloves - Whole,42
